#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 12 31 23 50 999  4.8  6.5  4.53 12.12  8.68 199  998.2   4.7   4.9 999.0 99.0 99.00
2018 01 01 00 50 999  5.2  6.9  4.59 11.43  8.63 186  998.1   4.6   4.9 999.0 99.0 99.00
2018 01 01 01 50 999  4.8  6.5  4.22 12.12  8.52 196  997.9   4.6   4.9 999.0 99.0 99.00
2018 01 01 02 50 999  6.1  7.6  3.80 11.43  8.52 203  997.7   4.6   4.9 999.0 99.0 99.00
2018 01 01 03 50 999  5.6  7.3  4.12 11.43  8.39 198  997.8   4.5   4.9 999.0 99.0 99.00
2018 01 01 04 50 999  5.3  6.8  4.35 12.12  8.77 229  997.7   4.6   4.9 999.0 99.0 99.00
2018 01 01 05 50 999  4.7  6.1  3.87 12.12  8.50 245  997.1   4.6   4.9 999.0 99.0 99.00
2018 01 01 06 50 999  5.6  7.0  4.08 10.81  8.51 168  996.9   4.7   4.9 999.0 99.0 99.00
2018 01 01 07 50 999  5.7  7.2  3.60 10.00  8.21 139  997.3   4.7   4.9 999.0 99.0 99.00
2018 01 01 08 50 999  6.1  7.9  3.76 10.81  8.36 201  997.4   4.7   4.9 999.0 99.0 99.00
2018 01 01 09 50 999  6.3  8.2  4.09 11.43  8.70 216  997.6   4.7   4.9 999.0 99.0 99.00
2018 01 01 10 50 999  7.8  9.5  4.34 11.43  8.91 195  997.3   4.7   4.9 999.0 99.0 99.00
2018 01 01 11 50 999  8.5 10.7  3.64 12.12  8.25 217  996.9   4.7   4.9 999.0 99.0 99.00
2018 01 01 12 50 999  9.9 12.3  3.25 12.12  7.62 195  995.6   4.5   4.9 999.0 99.0 99.00
2018 01 01 13 50 999 11.1 14.2  3.64 12.12  7.70 215  994.3   4.4   4.9 999.0 99.0 99.00
2018 01 01 14 50 999 12.1 15.8  3.27 10.00  6.92 156  992.3   4.4   4.9 999.0 99.0 99.00
2018 01 01 15 50 999 13.6 16.9  3.48 11.43  7.01 201  990.0   4.2   4.9 999.0 99.0 99.00
2018 01 01 16 50 999 13.8 16.3  3.51 10.00  6.90 144  988.1   4.6   4.9 999.0 99.0 99.00
2018 01 01 17 50 999 12.6 15.9  3.49 11.43  6.95 196  985.7   5.1   4.9 999.0 99.0 99.00
2018 01 01 18 50 999 13.4 16.3  3.49 10.00  6.73 161  984.0   5.7   4.9 999.0 99.0 99.00
2018 01 01 19 50 999 13.5 16.1  3.91 10.81  7.05 174  982.6   5.9   4.9 999.0 99.0 99.00
2018 01 01 20 50 999 13.2 16.3  3.95 10.00  7.08 151  981.9   6.2   4.9 999.0 99.0 99.00
2018 01 01 21 50 999 12.9 16.1  3.74 10.81  6.89 175  981.1   6.2   4.9 999.0 99.0 99.00
2018 01 01 22 50 999 13.9 17.8  4.16 10.00  7.38 151  980.2   6.4   4.9 999.0 99.0 99.00
2018 01 01 23 50 999 15.0 19.9  4.78 10.81  7.47 137  979.9   6.1   4.9 999.0 99.0 99.00
2018 01 02 00 50 999 15.0 19.1  4.76 10.00  7.70 147  979.9   6.0   4.9 999.0 99.0 99.00
2018 01 02 01 50 999 17.2 22.0  5.08 10.81  7.82 185  980.2   5.4   4.9 999.0 99.0 99.00
2018 01 02 02 50 999 17.0 22.7  5.90 10.00  8.29 178  981.7   6.1   4.9 999.0 99.0 99.00
2018 01 02 03 50 999 17.4 23.0  6.27 10.81  8.45 194  983.1   5.7   4.9 999.0 99.0 99.00
2018 01 02 04 50 999 18.2 23.3  6.49 12.12  8.63 178  984.5   6.2   4.9 999.0 99.0 99.00
2018 01 02 05 50 999 18.9 24.1  7.81 12.90  9.29 186  986.3   6.3   4.9 999.0 99.0 99.00
2018 01 02 06 50 999 17.2 21.3  8.08 13.79  9.50 185  988.6   6.3   4.9 999.0 99.0 99.00
2018 01 02 07 50 999 16.1 20.1  9.68 12.12  9.98 191  990.8   6.1   4.9 999.0 99.0 99.00
2018 01 02 08 50 999 15.7 19.0 10.23 13.79 10.50 188  992.9   6.1   4.9 999.0 99.0 99.00
2018 01 02 09 50 999 15.4 19.5  9.27 14.81 10.21 207  994.8   6.0   4.9 999.0 99.0 99.00
2018 01 02 10 50 999 13.8 17.2  8.73 14.81 10.20 197  996.9   5.9   4.9 999.0 99.0 99.00
2018 01 02 11 50 999 12.4 15.9  8.94 16.00 10.71 217  998.8   5.7   4.9 999.0 99.0 99.00
2018 01 02 12 50 999 11.3 14.8  8.01 16.00 10.63 207 1000.2   5.6   4.9 999.0 99.0 99.00
2018 01 02 13 50 999 10.9 13.3  7.59 16.00 10.75 212 1001.1   5.6   4.9 999.0 99.0 99.00
2018 01 02 14 50 999  8.5 11.3  8.08 16.00 10.88 211 1001.6   5.6   4.9 999.0 99.0 99.00
2018 01 02 15 50 999  8.1 10.5  6.65 14.81 10.21 216 1001.9   5.4   4.9 999.0 99.0 99.00
2018 01 02 16 50 999  6.6  8.5  6.53 16.00 10.29 210 1002.4   5.2   4.9 999.0 99.0 99.00
2018 01 02 17 50 999  6.4  8.4  7.33 14.81 10.49 204 1002.7   5.2   4.9 999.0 99.0 99.00
2018 01 02 18 50 999  6.0  8.1  6.82 14.81 10.37 205 1003.0   5.2   4.9 999.0 99.0 99.00
2018 01 02 19 50 999  4.8  6.5  6.21 14.81  9.65 197 1003.2   5.2   4.9 999.0 99.0 99.00
2018 01 02 20 50 999  3.7  5.5  6.79 13.79 10.23 207 1002.8   5.1   5.0 999.0 99.0 99.00
2018 01 02 21 50 999  4.7  7.0  6.54 14.81 10.09 211 1002.4   5.1   4.9 999.0 99.0 99.00
2018 01 02 22 50 999  4.7  6.6  5.59 14.81  9.58 207 1001.9   4.8   4.9 999.0 99.0 99.00
2018 01 02 23 50 999  5.0  7.5  6.30 13.79 10.11 214 1001.3   4.7   4.9 999.0 99.0 99.00
2018 01 03 00 50 999  4.5  6.9  4.80 14.81  9.43 219 1000.6   4.6   4.9 999.0 99.0 99.00
2018 01 03 01 50 999  6.5  8.0  5.32 13.79 10.46 217 1000.5   4.3   4.9 999.0 99.0 99.00
2018 01 03 02 50 999  4.5  6.7  5.32 14.81 10.56 227 1000.7   4.2   4.9 999.0 99.0 99.00
2018 01 03 03 50 999  3.1  4.6  4.43 14.81  9.73 237 1000.8   4.2   4.9 999.0 99.0 99.00
2018 01 03 04 50 999  1.9  4.2  4.70 14.81  9.48 213 1001.0   4.4   4.9 999.0 99.0 99.00
2018 01 03 05 50 999  6.0  8.6  4.55 14.81  9.55 211 1001.0   4.3   4.9 999.0 99.0 99.00
2018 01 03 06 50 999 11.0 13.2  4.20 12.90  8.90 206 1001.2   3.1   4.9 999.0 99.0 99.00
2018 01 03 07 50 999  9.7 11.9  4.33 13.79  8.92 209 1002.2   3.6   4.9 999.0 99.0 99.00
2018 01 03 08 50 999  8.8 10.8  4.48 13.79  8.90 212 1003.4   3.7   4.9 999.0 99.0 99.00
2018 01 03 09 50 999  9.0 11.0  3.72 13.79  8.37 208 1004.2   3.9   4.9 999.0 99.0 99.00
2018 01 03 10 50 999  8.2 10.4  3.86 12.90  8.54 213 1004.9   4.5   4.9 999.0 99.0 99.00
2018 01 03 11 50 999 10.0 12.7  3.83 13.79  8.47 210 1005.8   4.7   4.9 999.0 99.0 99.00
2018 01 03 12 50 999  8.6 10.2  3.26 13.79  7.50 215 1006.9   4.7   4.9 999.0 99.0 99.00
2018 01 03 13 50 999  9.3 11.1  3.26 12.90  7.30 224 1007.5   4.6   4.8 999.0 99.0 99.00
2018 01 03 14 50 999  8.8 10.4  2.83 11.43  6.86 228 1008.7   4.6   4.9 999.0 99.0 99.00
2018 01 03 15 50 999  9.1 11.3  3.20 12.12  7.56 219 1009.2   4.5   4.9 999.0 99.0 99.00
2018 01 03 16 50 999  8.1 10.1  2.96 12.12  7.20 211 1010.2   4.5   4.8 999.0 99.0 99.00
2018 01 03 17 50 999  7.3  9.0  2.92 11.43  7.29 225 1011.1   4.5   4.8 999.0 99.0 99.00
2018 01 03 18 50 999  6.4  8.5  3.23 11.43  8.07 218 1012.2   4.5   4.8 999.0 99.0 99.00
2018 01 03 19 50 999  6.5  8.8  2.91 10.81  7.57 236 1012.8   4.5   4.9 999.0 99.0 99.00
2018 01 03 20 50 999  4.4  6.3  3.32 12.90  8.16 214 1013.7   4.5   4.9 999.0 99.0 99.00
2018 01 03 21 50 999  4.5  6.3  2.88 12.12  7.81 215 1014.1   4.5   4.9 999.0 99.0 99.00
2018 01 03 22 50 999  3.9  5.5  3.08 12.12  8.06 211 1014.3   4.5   4.9 999.0 99.0 99.00
2018 01 03 23 50 999  2.6  4.5  2.75 10.81  7.72 214 1014.2   4.5   4.9 999.0 99.0 99.00
2018 01 04 00 50 999  2.5  4.0  2.61 12.12  7.54 216 1014.5   4.3   4.9 999.0 99.0 99.00
2018 01 04 01 50 999  1.4  3.2  2.44 11.43  7.45 217 1015.1   4.1   4.9 999.0 99.0 99.00
2018 01 04 02 50 999  2.1  3.7  2.34 10.00  7.47 215 1015.5   4.1   4.9 999.0 99.0 99.00
2018 01 04 03 50 999  0.5  1.8  2.21 12.90  7.64 234 1015.8   4.0   4.9 999.0 99.0 99.00
2018 01 04 04 50 999  1.6  3.7  2.26 11.43  8.00 220 1016.0   3.8   4.8 999.0 99.0 99.00
2018 01 04 05 50 999  1.7  3.4  2.37 11.43  7.80 217 1015.8   3.7   4.8 999.0 99.0 99.00
2018 01 04 06 50 999  1.8  3.4  2.50 11.43  7.83 232 1015.9   3.6   4.8 999.0 99.0 99.00
2018 01 04 07 50 999  0.3  1.5  2.61 11.43  8.00 229 1015.9   3.5   4.8 999.0 99.0 99.00
2018 01 04 08 50 999  0.1  1.0  2.51 11.43  7.89 237 1015.5   3.4   4.8 999.0 99.0 99.00
2018 01 04 09 50 999  1.2  2.9  2.23 11.43  7.64 231 1015.2   3.3   4.8 999.0 99.0 99.00
2018 01 04 10 50 999  2.6  4.0  2.29 11.43  7.74 223 1015.0   3.3   4.9 999.0 99.0 99.00
2018 01 04 11 50 999  3.2  5.0  2.28 10.00  7.41 210 1015.0   3.3   4.9 999.0 99.0 99.00
2018 01 04 12 50 999  2.9  4.5  1.97 10.81  7.68 232 1014.9   3.4   4.9 999.0 99.0 99.00
2018 01 04 13 50 999  3.3  4.7  1.82  9.09  7.71 238 1014.6   3.3   4.9 999.0 99.0 99.00
2018 01 04 14 50 999  3.4  5.0  1.85  9.09  7.73 209 1014.3   3.3   4.9 999.0 99.0 99.00
2018 01 04 15 50 999  3.7  6.8  1.76  8.33  7.57 179 1014.2   3.3   4.8 999.0 99.0 99.00
2018 01 04 16 50 999  3.0  4.8  1.71 12.90  7.84 232 1014.2   3.3   4.8 999.0 99.0 99.00
2018 01 04 17 50 999  3.0  4.3  1.74  9.09  8.01 192 1014.2   3.3   4.8 999.0 99.0 99.00
2018 01 04 18 50 999  1.9  3.4  2.04 12.12  8.57 226 1013.8   3.1   4.8 999.0 99.0 99.00
2018 01 04 19 50 999  4.2  6.1  2.03 11.43  8.36 231 1013.7   3.3   4.8 999.0 99.0 99.00
2018 01 04 20 50 999  5.0  7.0  2.11 12.12  8.34 233 1013.3   3.4   4.8 999.0 99.0 99.00
2018 01 04 21 50 999  5.1  7.5  1.96 10.81  8.06 225 1012.6   3.5   4.8 999.0 99.0 99.00
2018 01 04 22 50 999  5.6  7.8  2.12 11.43  8.24 231 1012.0   3.6   4.8 999.0 99.0 99.00
2018 01 04 23 50 999  6.5  7.6  2.05 11.43  7.62 239 1011.9   3.6   4.8 999.0 99.0 99.00
2018 01 05 00 50 999  7.5  8.9  1.99 10.81  7.31 243 1011.6   3.5   4.8 999.0 99.0 99.00
2018 01 05 01 50 999  5.7  7.8  1.94 12.90  7.18 232 1011.4   2.8   4.8 999.0 99.0 99.00
2018 01 05 02 50 999  7.9  9.8  1.79 12.90  6.99 229 1010.7   2.5   4.9 999.0 99.0 99.00
2018 01 05 03 50 999  6.6  9.0  1.74 11.43  7.22 218 1010.0   2.7   4.9 999.0 99.0 99.00
2018 01 05 04 50 999  5.4  6.7  1.84 12.90  7.33 210 1009.6   3.3   4.9 999.0 99.0 99.00
2018 01 05 05 50 999  5.8  7.2  1.68 12.12  6.87 237 1009.2   3.0   4.9 999.0 99.0 99.00
2018 01 05 06 50 999  5.6  7.4  1.96 11.43  7.30 234 1008.7   3.2   4.9 999.0 99.0 99.00
2018 01 05 07 50 999  5.2  8.2  1.75 12.12  7.11 234 1008.8   2.9   4.9 999.0 99.0 99.00
2018 01 05 08 50 999  6.7  9.0  1.76 10.81  6.71 242 1008.8   2.2   4.9 999.0 99.0 99.00
2018 01 05 09 50 999  8.8 11.1  1.94 10.00  6.83 238 1008.3   2.0   4.8 999.0 99.0 99.00
2018 01 05 10 50 999  8.0 10.0  1.98 10.81  5.94 242 1007.3   2.4   4.8 999.0 99.0 99.00
2018 01 05 11 50 999  6.5  8.3  1.76 10.81  5.77 252 1006.8   2.5   4.8 999.0 99.0 99.00
2018 01 05 12 50 999  5.1  7.1  1.75 10.00  5.97 233 1006.1   2.0   4.8 999.0 99.0 99.00
2018 01 05 13 50 999  3.8  6.4  1.74 10.00  6.22 246 1004.8   2.2   4.8 999.0 99.0 99.00
2018 01 05 14 50 999  0.4  2.4  1.59 10.00  6.01 232 1003.9   2.0   4.8 999.0 99.0 99.00
2018 01 05 15 50 999  1.6  3.3  1.52 10.00  6.55 239 1003.8   1.9   4.8 999.0 99.0 99.00
2018 01 05 16 50 999  2.1  3.5  1.27 12.12  6.52 214 1003.2   1.7   4.8 999.0 99.0 99.00
2018 01 05 17 50 999  3.0  4.5  1.37  9.09  6.61 225 1002.5   1.7   4.8 999.0 99.0 99.00
2018 01 05 18 50 999  5.5  7.7  1.27  9.09  6.65 215 1001.5   1.9   4.8 999.0 99.0 99.00
