#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 279  6.4  7.3  2.41 12.90  6.50 999 1041.3   5.6   6.4 999.0 99.0 99.00
2017 01 01 00 50 291  6.3  7.3  2.13  7.14  6.08 999 1041.1   5.5   6.4 999.0 99.0 99.00
2017 01 01 01 50 293  5.3  6.6  2.39  7.69  6.64 999 1041.2   5.5   6.4 999.0 99.0 99.00
2017 01 01 02 50 297  3.9  4.9  2.57 14.81  7.39 999 1041.1   5.5   6.4 999.0 99.0 99.00
2017 01 01 03 50 298  5.7  6.7  1.83  7.69  5.80 999 1041.4   5.6   6.4 999.0 99.0 99.00
2017 01 01 04 50 281  5.0  6.1  2.29 13.79  7.14 999 1041.5   5.6   6.4 999.0 99.0 99.00
2017 01 01 05 50 293  6.1  7.6  2.17 12.90  6.88 999 1041.7   5.6   6.4 999.0 99.0 99.00
2017 01 01 06 50 314  4.2  5.4  2.24 12.12  7.09 999 1042.1   5.5   6.4 999.0 99.0 99.00
2017 01 01 07 50 297  4.4  5.2  1.97 13.79  6.64 999 1041.9   5.5   6.4 999.0 99.0 99.00
2017 01 01 08 50 287  4.6  5.6  2.06 12.90  7.26 999 1041.8   5.5   6.4 999.0 99.0 99.00
2017 01 01 09 50 304  3.2  4.1  1.82 12.12  6.65 999 1041.5   5.6   6.4 999.0 99.0 99.00
2017 01 01 10 50 274  2.9  3.9  1.92 12.90  6.88 999 1041.4   5.5   6.4 999.0 99.0 99.00
2017 01 01 11 50 287  1.3  1.7  1.60 12.90  6.66 999 1041.1   5.4   6.4 999.0 99.0 99.00
2017 01 01 12 50 260  2.0  3.0  1.67 12.90  6.95 999 1040.7   5.4   6.4 999.0 99.0 99.00
2017 01 01 13 50 252  0.6  1.2  1.64 12.90  7.21 999 1040.3   5.3   6.4 999.0 99.0 99.00
2017 01 01 14 50 219  0.8  1.5  1.42 11.43  6.59 999 1039.8   5.1   6.4 999.0 99.0 99.00
2017 01 01 15 50 222  1.8  2.4  1.40 12.90  6.76 999 1040.2   5.1   6.4 999.0 99.0 99.00
2017 01 01 16 50 249  2.5  3.1  1.29 11.43  6.57 999 1040.2   5.0   6.4 999.0 99.0 99.00
2017 01 01 17 50 228  2.4  3.1  1.33 11.43  6.87 999 1040.2   5.0   6.3 999.0 99.0 99.00
2017 01 01 18 50 253  2.8  3.6  1.35 12.12  6.84 999 1040.2   5.1   6.3 999.0 99.0 99.00
2017 01 01 19 50 259  1.9  2.6  1.19 12.12  6.39 999 1040.6   5.3   6.3 999.0 99.0 99.00
2017 01 01 20 50 243  2.7  3.3  1.14 12.12  6.66 999 1040.0   5.4   6.3 999.0 99.0 99.00
2017 01 01 21 50 248  3.5  4.3  0.98 10.81  6.23 999 1039.4   5.5   6.3 999.0 99.0 99.00
2017 01 01 22 50 277  2.0  2.4  0.67 11.43  5.08 999 1039.0   5.7   6.4 999.0 99.0 99.00
2017 01 01 23 50 260  1.2  2.0  0.94 10.81  6.39 999 1038.7   6.0   6.4 999.0 99.0 99.00
2017 01 02 00 50 212  1.2  1.7  1.00 11.43  6.93 999 1038.6   6.0   6.4 999.0 99.0 99.00
2017 01 02 01 50 174  0.7  1.1  0.79 10.00  6.73 999 1038.8   5.5   6.4 999.0 99.0 99.00
2017 01 02 02 50 219  1.3  1.8  1.01 10.81  7.83 999 1038.7   5.4   6.4 999.0 99.0 99.00
2017 01 02 03 50 185  2.0  2.5  1.08 10.00  8.09 999 1038.9   5.2   6.4 999.0 99.0 99.00
2017 01 02 04 50 221  3.6  4.4  1.09 10.81  7.85 999 1038.6   4.0   6.4 999.0 99.0 99.00
2017 01 02 05 50 227  3.0  3.7  1.42 12.90  8.61 999 1038.5   3.6   6.4 999.0 99.0 99.00
2017 01 02 06 50 219  1.9  2.6  1.34 12.12  8.57 999 1038.0   3.9   6.4 999.0 99.0 99.00
2017 01 02 07 50 220  3.5  4.1  1.57 13.79  9.00 999 1037.7   3.9   6.3 999.0 99.0 99.00
2017 01 02 08 50 244  4.0  5.3  1.72 13.79  9.21 999 1037.7   2.7   6.4 999.0 99.0 99.00
2017 01 02 09 50 258  3.9  5.2  1.99 13.79  9.32 999 1037.3   3.1   6.4 999.0 99.0 99.00
2017 01 02 10 50 262  4.2  5.1  1.96 12.90  9.23 999 1037.1   2.9   6.4 999.0 99.0 99.00
